topic,Unique_Column,playlist_id,channel_id,video_id,video_link,video_title,username,user_id,Comment,length,Sum
classification in machine learning,https://www.youtube.com/playlist?list=PLblh5JKOoLUICTaGLRoHQDuF_7q2GfuJF,PLblh5JKOoLUICTaGLRoHQDuF_7q2GfuJF,UCtYLUTtgS3k1Fg4y5tAhLbw,O2L2Uv9pdDA,https://www.youtube.com/watch?v=O2L2Uv9pdDA,"Naive Bayes, Clearly Explained!!!",Hhh Hhh,UCqwD_DNdKH3SVRb6FMQWFqw,Best Teacher ♥️,2,100.0
classification in machine learning,https://www.youtube.com/playlist?list=PLYwpaL_SFmcBhOEPwf5cFwqo5B-cP9G4P,PLYwpaL_SFmcBhOEPwf5cFwqo5B-cP9G4P,UCyHta2dyCTkf29AB67AYn7A,ICCA3-7a5bw,https://www.youtube.com/watch?v=ICCA3-7a5bw,Overfitting and Underfitting Explained with Examples in Hindi ll Machine Learning Course,Daibi Moitra,UCcINnadBt789oBl50_1Irag,very nice explaination. hats off,5,80.0
exploratory data analysis,https://www.youtube.com/playlist?list=PLZoTAELRMXVPQyArDHyQVjQxjj_YmEuO9,PLZoTAELRMXVPQyArDHyQVjQxjj_YmEuO9,UCNU_lfiiWBdtULKOw6X0Dig,1JXrxCJoHuw,https://www.youtube.com/watch?v=1JXrxCJoHuw,Advance House Price Prediction-Feature Selection,Akash Prabhakar,UC-mPIvlJ1Xaeqj4C2Wn15kg,I am getting this error on applying Lasso could not convert string to float: REAL LIFE'',16,100.0
Probability,https://www.youtube.com/watch?v=V3iEsLPAD68,(Blank),UC_4NoVAkQzeSaxCgm-to25A,V3iEsLPAD68,https://www.youtube.com/watch?v=V3iEsLPAD68,Statistics And Probability | Overview Of Random Variable & Probability Distribution,Aditya Singh,UCUq4aeSikDGZhhMKYde6gPQ,"To anyone having left ear sound only problem: Try to turn on mono audio on your phone or laptop, it will eliminate the sterio effect. But remember to turn it on to get a good sterio effect with your music or movies",42,95.23809524
classification in machine learning,https://www.youtube.com/playlist?list=PLblh5JKOoLUICTaGLRoHQDuF_7q2GfuJF,PLblh5JKOoLUICTaGLRoHQDuF_7q2GfuJF,UCtYLUTtgS3k1Fg4y5tAhLbw,yIYKR4sgzI8,https://www.youtube.com/watch?v=yIYKR4sgzI8,StatQuest: Logistic Regression,Arthurus,UCUJSIF7yJJGbKhzPe6ofXEg,thanks man,2,100.0
exploratory data analysis,https://www.youtube.com/playlist?list=PLZoTAELRMXVPQyArDHyQVjQxjj_YmEuO9,PLZoTAELRMXVPQyArDHyQVjQxjj_YmEuO9,UCNU_lfiiWBdtULKOw6X0Dig,3gfhbXt9TcQ,https://www.youtube.com/watch?v=3gfhbXt9TcQ,Discussing All The Types Of Feature Transformation In Machine Learning,SpokenEnglish-2030,UCQAt9AB-Rs5noQ-MG0MlX1w,Pray your team members recover quickly. India needs good teachers.,10,100.0
NLP sentiment analysis,https://www.youtube.com/playlist?list=PLZoTAELRMXVMdJ5sqbCK2LiM0HhQVWNzm,PLZoTAELRMXVMdJ5sqbCK2LiM0HhQVWNzm,UCNU_lfiiWBdtULKOw6X0Dig,fA5TSFELkC0,https://www.youtube.com/watch?v=fA5TSFELkC0,Implementing a Spam classifier in python| Natural Language Processing,jinks,UCQ8q1ZPVXRcM8_UzfuhV3xg,You are bhagwan for me Sir,6,83.33333333
classification in machine learning,https://www.youtube.com/watch?v=dRqtLxZVRuw,(Blank),UCV8e2g4IWQqK71bbzGDEI4Q,dRqtLxZVRuw,https://www.youtube.com/watch?v=dRqtLxZVRuw,Machine Learning in R: Building a Classification Model,Minhaaj Rehman,UC2qfK44yG5jXXtTuNiG2KeA,also please write the interpretation guidelines of the results in comments so that the beginners can understand and remember while running the code at their end. it would help newbies.,30,100.0
Decision Tree,https://www.youtube.com/playlist?list=PLBq2sVJiEBvA9rPo3IEQsJNI4IJbn81tB,PLBq2sVJiEBvA9rPo3IEQsJNI4IJbn81tB,UCtYLUTtgS3k1Fg4y5tAhLbw,g9c66TUylZ4,https://www.youtube.com/watch?v=g9c66TUylZ4,"Regression Trees, Clearly Explained!!!",L Prashanthi,UCpi7fo180s-t130vS82gbpQ,Nyone help clarify. it is written less than 14.5 on the nose but the instructor says greater than 14.5. I did not quite get that,23,95.65217391
Linear Regression,https://www.youtube.com/watch?v=ZkjP5RJLQF4,(Blank),UCFrjdcImgcQVyFbK04MBEhA,ZkjP5RJLQF4,https://www.youtube.com/watch?v=ZkjP5RJLQF4,"Statistics 101: Linear Regression, The Very Basics 📈",dave munim,UCmj_1Yu8V_nE-EzwFUPuYkA,Thanks a lot bud !,4,100.0
