topic,Unique_Column,playlist_id,channel_id,video_id,video_link,video_title,username,user_id,Comment,length,Sum
dashboard creation in tableau,https://www.youtube.com/playlist?list=PL6_D9USWkG1AQj56AYY2Lj2hV4z7NuoeD,PL6_D9USWkG1AQj56AYY2Lj2hV4z7NuoeD,UCxNzLV0gP8nuOZcSfyc0hsg,gGZ5-cn5ePk,https://www.youtube.com/watch?v=gGZ5-cn5ePk,Tableau Social Media KPI Dashboard for Twitter | Design Example | Data Analyst Portfolio Project,AKSHAT BHATAWDEKAR,UCoyuCrCesayAghfRwOo6igg,sir my worksheets never fit properly on dashboard? I always fall short on space,14,100.0
ANN Model,https://www.youtube.com/playlist?list=PLQVvvaa0QuDcjD5BAw2DxE6OF2tius3V3,PLQVvvaa0QuDcjD5BAw2DxE6OF2tius3V3,UCfzlCWGWYyIQ0aLC5w48gBQ,tMrbN67U9d4,https://www.youtube.com/watch?v=tMrbN67U9d4,Neural Networks from Scratch - P.3 The Dot Product,Motivation&Discipline,UCamRWqFrVhP-HDnI7SFVBSQ,LOVE THIS it really taught me about python and ML I did not know a lot about inputs and outputs until I watched these videos thanks bro,27,100.0
ANN Model,https://www.youtube.com/playlist?list=PLZHQObOWTQDNU6R1_67000Dx_ZCJB-3pi,PLZHQObOWTQDNU6R1_67000Dx_ZCJB-3pi,UCYO_jab_esuFRV4b17AJtAw,IHZwWFHWa-w,https://www.youtube.com/watch?v=IHZwWFHWa-w,"Gradient descent, how neural networks learn | Chapter 2, Deep learning",Chuck Henebry,UCkCzpiPhvjri8bL4n1fn29Q,"I watched this series a few days ago, and my favorite moment was at 15;10 of this video, when we discover that the intelligent"""" machine was prepared to confidently score a random noise image as ""5."" Then today I came across a NYTImes article about researchers who have discovered they can make Alexa and Siri activate and take actions by playing audio files that sound to people like white noise or even an orchestra playing: I am pretty sure that your video contains the explanation for this: it is not that the audio file contains someone whispering secret code to these AI listening devices, but rather that the researchers were able to reverse engineer an audio pattern that to( a particular AI device) looks like signal rather than noise.",127,97.63779528
NLP sentiment analysis,https://www.youtube.com/watch?v=QpzMWQvxXWk,(Blank),UCxladMszXan-jfgzyeIMyvw,QpzMWQvxXWk,https://www.youtube.com/watch?v=QpzMWQvxXWk,Python Sentiment Analysis Project with NLTK and 🤗 Transformers. Classify Amazon Reviews!!,Geeky Programmer,UCS0Huu2dxo9ZzjYC_2QO1oA,"34:57 Even though I set the Preferences to GPU, it is still not utilizing GPU to speed up the process. Can you please help me?",24,91.66666667
Set Theory,https://www.youtube.com/watch?v=enHai1y5Knc,(Blank),UCEg3PHVR0vt3azbs_Qk_6cw,enHai1y5Knc,https://www.youtube.com/watch?v=enHai1y5Knc,Sets | CBSE Class 11 Maths Chapter 1 | Complete Lesson in ONE Video,"Study One Shot {Class 6, 7, 8 Maths}",UCBZvc8rcnDsPxeGANRNCkLw,Amazing explanation mam,3,100.0
exploratory data analysis,https://www.youtube.com/playlist?list=PLxvLUL96MOO6F8x2fLgFlNrJVcKPQuS3a,PLxvLUL96MOO6F8x2fLgFlNrJVcKPQuS3a,UCNU_lfiiWBdtULKOw6X0Dig,dmt2R4A3W1Q,https://www.youtube.com/watch?v=dmt2R4A3W1Q,Live-Feature Engineering-All Techniques To Handle Missing Values- Day 3,Anupam Hore,UCvcAtQkF0SGgRuNdHMDk4Fg,"one question is when we have 100 of categorical values in the categorical variable and when we apply the method of selecting the top 10 of them and then we perform the encoding, whether we will drop that original categorical variable from our dataset?",42,97.61904762
NLP sentiment analysis,https://www.youtube.com/playlist?list=PLZoTAELRMXVMdJ5sqbCK2LiM0HhQVWNzm,PLZoTAELRMXVMdJ5sqbCK2LiM0HhQVWNzm,UCNU_lfiiWBdtULKOw6X0Dig,CPl9XdIFbYA,https://www.youtube.com/watch?v=CPl9XdIFbYA,Tutorial 29- Why Use Recurrent Neural Network and Its Application,Sagar Parab,UC2AdNHwxszizu3vYTgpWU8g,"sir, You are Great",4,100.0
dashboard creation in tableau,https://www.youtube.com/watch?v=_qReGTOrKTk,(Blank),UC2Yt4idSq5rMLrrsWP5dkpw,_qReGTOrKTk,https://www.youtube.com/watch?v=_qReGTOrKTk,Customer Analysis using Tableau - Dashboard From Scratch,augustine emmanuel,UCZtVv9VBpiwTRu65PylREyg,This is amazing your teaching is well explained thank you,10,100.0
NLP sentiment analysis,https://www.youtube.com/playlist?list=PLZoTAELRMXVMdJ5sqbCK2LiM0HhQVWNzm,PLZoTAELRMXVMdJ5sqbCK2LiM0HhQVWNzm,UCNU_lfiiWBdtULKOw6X0Dig,pO_6Jk0QtKw,https://www.youtube.com/watch?v=pO_6Jk0QtKw,Word Embedding - Natural  Language Processing| Deep Learning,Rajesh,UCAHiKK9drY84wWiiHKLOcxA,Every day I am watching atleast 5 6 videos these days,9,88.88888889
Probability,https://www.youtube.com/playlist?list=PLC58778F28211FA19,PLC58778F28211FA19,UC4a-Gbdw7vOaccHmFo40b9g,3z-M6sbGIZ0,https://www.youtube.com/watch?v=3z-M6sbGIZ0,Poisson process 1 | Probability and Statistics | Khan Academy,Incrue,UC-nGU3vCrjQWk05BIYKujvA,I did not understand why two cars screw up with the stuff,12,100.0
