topic,Unique_Column,playlist_id,channel_id,video_id,video_link,video_title,username,user_id,Comment,length,Sum
dashboard creation in tableau,https://www.youtube.com/watch?v=jEgVto5QME8,(Blank),UCQIMjZigvDj6tWFoMTsN5_g,jEgVto5QME8,https://www.youtube.com/watch?v=jEgVto5QME8,Tableau in Two Minutes - Tableau Basics for Beginners,Ronil Patni,UCotAM53Ei9cUUfbvDo7lmOg,"Hello, This is an amazing video. But Can you please share some more raw excel data?",16,100.0
Probability,https://www.youtube.com/watch?v=F_rlmLHwKTM,(Blank),UCakgPOFKhxYGHSibDH-7a1w,F_rlmLHwKTM,https://www.youtube.com/watch?v=F_rlmLHwKTM,PROBABILITY | प्रायिकता | बहुत  ही सरल भाषा मे सारे मत्त्वपूर्ण Conecpt सीखे,GK study 42,UCSDKbOBW246GHH_Pgu9fmtw,Thank you sir 🙏,3,100.0
exploratory data analysis,https://www.youtube.com/playlist?list=PLZoTAELRMXVPQyArDHyQVjQxjj_YmEuO9,PLZoTAELRMXVPQyArDHyQVjQxjj_YmEuO9,UCNU_lfiiWBdtULKOw6X0Dig,0fT-bqvHD2w,https://www.youtube.com/watch?v=0fT-bqvHD2w,Advance House Price Prediction-Feature Engineering Part 2,Arin pandey,UCr186iAeLZtPO--0v7EVhBQ,"I tried to follow Handling"" Rare Categorical Features"" in test data but I got stuck at one point. Since we are using group by ( ) function with respect to Sale Price [ ' ' ] and test data is not having any Sale Price column, how to proceed with that step and the step followed by that where you did feature scaling on categorical features. The general doubt is that wherever you are using group by ( ) function in train data you are grouping it with respect to Sale Price column. But in test data there is no Sale Price column. Then how to proceed in that case?",102,100.0
Linear Regression,https://www.youtube.com/watch?v=NUXdtN1W1FE,(Blank),UCsvqVGtbbyHaMoevxPAq9Fg,NUXdtN1W1FE,https://www.youtube.com/watch?v=NUXdtN1W1FE,Linear Regression Analysis | Linear Regression in Python | Machine Learning Algorithms | Simplilearn,Om Patel,UC461UqA_AnQYHaosRwsXnXA,can I have the data set that you guys were using?,11,100.0
dashboard creation in tableau,https://www.youtube.com/watch?v=aHaOIvR00So,(Blank),UCkw4JCwteGrDHIsyIIKo4tQ,aHaOIvR00So,https://www.youtube.com/watch?v=aHaOIvR00So,Tableau Full Course - Learn Tableau in 6 Hours | Tableau Training for Beginners | Edureka,Puneet Chawla,UCpU45mWKE9ihhFNMRdqJT9A,Can you please share data set?,6,100.0
Set Theory,https://www.youtube.com/watch?v=WbWlUUkjJVQ,(Blank),UC9dyrsYEmD4iGJ8Oz1G5dpw,WbWlUUkjJVQ,https://www.youtube.com/watch?v=WbWlUUkjJVQ,Sets Class 11 |  Maths Chapter 1 | Concept/Types/Questions/Solutions/Concept/Represention/Super Set,Akash Itkalwar,UCsEWRMYzeTRjMVqnYAsuKAA,Thank you so much sir for starting 11 maths series please continue sir,12,100.0
Set Theory,https://www.youtube.com/playlist?list=PLjJhPCaCziSQyON7NLc8Ac8ibdm6_iDQf,PLjJhPCaCziSQyON7NLc8Ac8ibdm6_iDQf,UCIitj22cDioUWlkQYF6UXLw,oA-sfBPKi6A,https://www.youtube.com/watch?v=oA-sfBPKi6A,13. Set Theory. Natural Numbers,snchz5,UCEw6yK5hxlFQ9-2iV_ZCo1w,Thank you for the awesome lectures!,6,100.0
dashboard creation in tableau,https://www.youtube.com/watch?v=_qReGTOrKTk,(Blank),UC2Yt4idSq5rMLrrsWP5dkpw,_qReGTOrKTk,https://www.youtube.com/watch?v=_qReGTOrKTk,Customer Analysis using Tableau - Dashboard From Scratch,Naveen Panni,UC2krk4PGCEur0pDSvyuXGJQ,Just wow. Great explanation and it was very easy to understand. Thank you 😊.,13,100.0
Set Theory,https://www.youtube.com/watch?v=WbWlUUkjJVQ,(Blank),UC9dyrsYEmD4iGJ8Oz1G5dpw,WbWlUUkjJVQ,https://www.youtube.com/watch?v=WbWlUUkjJVQ,Sets Class 11 |  Maths Chapter 1 | Concept/Types/Questions/Solutions/Concept/Represention/Super Set,Deepanshu Pathak,UC8UQQcUahre6-HxUe0oavLA,is it good explanation for je mains ?,7,85.71428571
Probability,https://www.youtube.com/playlist?list=PLC58778F28211FA19,PLC58778F28211FA19,UC4a-Gbdw7vOaccHmFo40b9g,SqcxYnNlI3Y,https://www.youtube.com/watch?v=SqcxYnNlI3Y,Expected value of binomial distribution | Probability and Statistics | Khan Academy,rafaelaprende,UCMCijxfoDQEHpJFxOX1Y4kQ,"At the end, it made sense. Thank you! That was a challenge.",12,100.0
Probability,https://www.youtube.com/watch?v=W8d263KZVXg,(Blank),UCPBvHOVl_ml3CY7cE7aAXnw,W8d263KZVXg,https://www.youtube.com/watch?v=W8d263KZVXg,Class 9 Maths | Chapter 15 | Exercise 15.1 Q1 Q2 | Probability | NCERT,Thakur HP 33 Gamerz,UCKZ3wi4BMw8o54r9a_zysnA,Soul,1,100.0
