topic,Unique_Column,playlist_id,channel_id,video_id,video_link,video_title,username,user_id,Comment,length,Sum
Decision Tree,https://www.youtube.com/watch?v=RmajweUFKvM,(Blank),UCsvqVGtbbyHaMoevxPAq9Fg,RmajweUFKvM,https://www.youtube.com/watch?v=RmajweUFKvM,Decision Tree In Machine Learning | Decision Tree Algorithm In Python |Machine Learning |Simplilearn,Kabuki-kai,UCpybCTARpfroWZKztauHv2Q,"This is a great video, but I have a couple of questions. 1.) I understand that your model is ~94% accurate, but what is"""" the model? 2.) How would a bank use it? Is it a formula that they plug numbers into, or is it a series of questions they ask to lead them to the answer?",54,100.0
Linear Algebra,https://www.youtube.com/watch?v=fNk_zzaMoSs,(Blank),UCYO_jab_esuFRV4b17AJtAw,fNk_zzaMoSs,https://www.youtube.com/watch?v=fNk_zzaMoSs,"Vectors | Chapter 1, Essence of linear algebra",BloodyHand29,UCNQlG3YLDndlOwElpS0sQRg,What software did you use to code the graphs in the videos and animate them?,15,100.0
Set Theory,https://www.youtube.com/watch?v=NEfFG-yjoDY,(Blank),UC4fFdfFiDfVCVxzZB61Vd4Q,NEfFG-yjoDY,https://www.youtube.com/watch?v=NEfFG-yjoDY,Set Theory - Lec 1 : Important MCQS By Showkat Sir for Finance Accounts Assistant Exam,CS Trainer (Khan Showkat),UCKpkbCvc_FX0MowtjQIlKIg,In this lecture we will be discussing all the important concepts of set theory. This MCQ series regarding Mathematics for FAA will be very important for all the students especially( non mathematics background students). Stay Tuned!,36,94.44444444
dashboard creation in tableau,https://www.youtube.com/watch?v=aHaOIvR00So,(Blank),UCkw4JCwteGrDHIsyIIKo4tQ,aHaOIvR00So,https://www.youtube.com/watch?v=aHaOIvR00So,Tableau Full Course - Learn Tableau in 6 Hours | Tableau Training for Beginners | Edureka,Nidhi Chowdhary,UC6_V7_IUv4KxSUY7C2q274A,can you please share all the datasets. Where do I share my email id so that its not seen publicly but you can share the datasets with me.,28,92.85714286
Decision Tree,https://www.youtube.com/playlist?list=PL4gu8xQu0_5JBO1FKRO5p20wc8DprlOgn,PL4gu8xQu0_5JBO1FKRO5p20wc8DprlOgn,UCPi23Ql765_5smMj2-r0X4g,coOTEc-0OGw,https://www.youtube.com/watch?v=coOTEc-0OGw,1. Decision Tree | ID3 Algorithm | Solved Numerical Example | by Mahesh Huddar,Brahmananda Kabi,UC3MXOltA4t8VsvTbsec8jtg,Thank you sir,3,100.0
classification in machine learning,https://www.youtube.com/playlist?list=PLYwpaL_SFmcBhOEPwf5cFwqo5B-cP9G4P,PLYwpaL_SFmcBhOEPwf5cFwqo5B-cP9G4P,UCyHta2dyCTkf29AB67AYn7A,QZ8ieXZVjuE,https://www.youtube.com/watch?v=QZ8ieXZVjuE,Back Propagation Algorithm /Back Propagation Of Error (Part-1)Explained With Solved Example in Hindi,Erum Ashraf,UCuAbXjpc1MSgr4tcsn8rM5g,"Please make series on Io T and with back propagation, how will we adjust weights? And can you make a video on it is Matlab code",26,96.15384615
NLP sentiment analysis,https://www.youtube.com/playlist?list=PLZoTAELRMXVMdJ5sqbCK2LiM0HhQVWNzm,PLZoTAELRMXVMdJ5sqbCK2LiM0HhQVWNzm,UCNU_lfiiWBdtULKOw6X0Dig,mDaEfPgwtgo,https://www.youtube.com/watch?v=mDaEfPgwtgo,Tutorial 32- Problems In Simple Recurrent Neural Network,Ritesh Kushwaha,UCkuV65vZT4JxxHhfcYxcK_A,"Since derivative for Relu activation function is always 1, how does it cause vanishing gradient or gradient explode?? Not able to understand the logic.",23,95.65217391
classification in machine learning,https://www.youtube.com/playlist?list=PLblh5JKOoLUICTaGLRoHQDuF_7q2GfuJF,PLblh5JKOoLUICTaGLRoHQDuF_7q2GfuJF,UCtYLUTtgS3k1Fg4y5tAhLbw,O2L2Uv9pdDA,https://www.youtube.com/watch?v=O2L2Uv9pdDA,"Naive Bayes, Clearly Explained!!!",The Core Value,UCNLwpaZb2SisT3vYnvi-Xag,"Dear I have a question, why does the total number of words you gave in example alway a constant for( ex: 17, 12.) ? it should be differ over messages OR you total"" number of words"" it is not words in one message",40,100.0
ANN Model,https://www.youtube.com/playlist?list=PLZHQObOWTQDNU6R1_67000Dx_ZCJB-3pi,PLZHQObOWTQDNU6R1_67000Dx_ZCJB-3pi,UCYO_jab_esuFRV4b17AJtAw,tIeHLnjs5U8,https://www.youtube.com/watch?v=tIeHLnjs5U8,"Backpropagation calculus | Chapter 4, Deep learning",Samia Zaman,UCOpQsrivr9sjYltK04LA9Ow,Thank you. Love it.,4,100.0
Linear Regression,https://www.youtube.com/playlist?list=PLF596A4043DBEAE9C,PLF596A4043DBEAE9C,UClD8c_piy1nrJySPJUgyivg,JvS2triCgOY,https://www.youtube.com/watch?v=JvS2triCgOY,How to calculate linear regression using least square method,Tyler Czap,UC6qNjRnZRzM02Pfd3Rwtb7A,THANK YOU SO MUCH!!!,4,100.0
dashboard creation in tableau,https://www.youtube.com/watch?v=jEgVto5QME8,(Blank),UCQIMjZigvDj6tWFoMTsN5_g,jEgVto5QME8,https://www.youtube.com/watch?v=jEgVto5QME8,Tableau in Two Minutes - Tableau Basics for Beginners,lHighHopesI,UCpS4ZM4rHer_B5IuDjnY9sA,You have forgotten to add a three at the back of the two. Two three minutes :>,16,100.0
