topic,Unique_Column,playlist_id,channel_id,video_id,video_link,video_title,username,user_id,Comment,length,Sum
Set Theory,https://www.youtube.com/watch?v=enHai1y5Knc,(Blank),UCEg3PHVR0vt3azbs_Qk_6cw,enHai1y5Knc,https://www.youtube.com/watch?v=enHai1y5Knc,Sets | CBSE Class 11 Maths Chapter 1 | Complete Lesson in ONE Video,Eswari Achary,UC2R21PSvETsAY_8IHKhjZWw,I have no words for you 💖💖💖💖,6,100.0
Linear Regression,https://www.youtube.com/watch?v=8jazNUpO3lQ,(Blank),UCh9nVJoWXmFb7sLApWGcLPQ,8jazNUpO3lQ,https://www.youtube.com/watch?v=8jazNUpO3lQ,Machine Learning Tutorial Python - 2: Linear Regression Single Variable,karthik lv,UCHq0K0I6G-PSIJTdZFn0RoQ,"Exercise prediction for 2020 is 41288.69 $ , yes?",5,100.0
exploratory data analysis,https://www.youtube.com/playlist?list=PLxvLUL96MOO6F8x2fLgFlNrJVcKPQuS3a,PLxvLUL96MOO6F8x2fLgFlNrJVcKPQuS3a,UCNU_lfiiWBdtULKOw6X0Dig,S6hcGwhNbIM,https://www.youtube.com/watch?v=S6hcGwhNbIM,Live-Feature Engineering-All Techniques To Handle Missing Values- Day 1,Deta Creations,UCPY9IFiSDq19R4Tqz0guflg,ecxept using median to fill the nan of age can we use mode to fill na?,16,93.75
ANN Model,https://www.youtube.com/playlist?list=PLZHQObOWTQDNU6R1_67000Dx_ZCJB-3pi,PLZHQObOWTQDNU6R1_67000Dx_ZCJB-3pi,UCYO_jab_esuFRV4b17AJtAw,aircAruvnKk,https://www.youtube.com/watch?v=aircAruvnKk,"But what is a neural network? | Chapter 1, Deep learning",Kshitij Sharma,UCE_rI9AJ3sN1l2o40qb9k7w,"I have a doubt, Re LU then will not output an activation between 0 and 1 right? So in principle then the activations of neurons can be more than 1 and very large I suppose Even( though by definition we want the last layer to give out an activation between 0 and 1 for each number or de then normalize what we get?)?",58,100.0
dashboard creation in tableau,https://www.youtube.com/watch?v=Nr31rv9tsJ8,(Blank),UCHBWJGoZMkhJyElgvuN1U1w,Nr31rv9tsJ8,https://www.youtube.com/watch?v=Nr31rv9tsJ8,TABLEAU HOW TO CREATE DASHBOARD,Sat Talk,UClQzb-VG8B9vcqcXj-vGXew,Thanks. Can we make Real time Dashboard from Data source from Syslog server?,13,92.30769231
Decision Tree,https://www.youtube.com/playlist?list=PLBq2sVJiEBvA9rPo3IEQsJNI4IJbn81tB,PLBq2sVJiEBvA9rPo3IEQsJNI4IJbn81tB,UCtYLUTtgS3k1Fg4y5tAhLbw,J4Wdy0Wc_xQ,https://www.youtube.com/watch?v=J4Wdy0Wc_xQ,"StatQuest: Random Forests Part 1 - Building, Using and Evaluating",EstevesLisboeta,UCXqBZ8rXVdcyvtcDJ6_fiNg,Can the random subset be empty? No( variables) so the tree ends abruptly ?,13,100.0
dashboard creation in tableau,https://www.youtube.com/playlist?list=PLge_oNJswtYsOJlAvE1afXtmoJo27lbsm,PLge_oNJswtYsOJlAvE1afXtmoJo27lbsm,UCrkPsvLGln62OMZRO6K-llg,sM7D8biBf4k,https://www.youtube.com/watch?v=sM7D8biBf4k,"How to collect metrics and create dashboards using Grafana, Prometheus and AppMetrics in .NET Core",Alireza Moghadamzadeh,UC1zHZbc9CStX2_qtaUedRlg,"Amazing video, please make a video series for Grafana and prometheus",11,90.90909091
Linear Algebra,https://www.youtube.com/playlist?list=PL49CF3715CB9EF31D,PL49CF3715CB9EF31D,UCEBb1b_L6zDS3xTUrIALZOw,9Q1q7s1jTzU,https://www.youtube.com/watch?v=9Q1q7s1jTzU,8. Solving Ax = b: Row Reduced Form R,Cleanest Boi,UCDIYKLrrOLg1RLAx2YZ6huA,"Question: the x particular needs to have 0 corresponding to the free variables in A, and in order to find the free variables in A you need to row reduce it, but after you have done this, why cannot you just arbitrarily select numbers for the pivot variables in x particular? Why solve for them by setting some b"""" when the vector is going to give some valid b"""" anyways?",69,100.0
Decision Tree,https://www.youtube.com/playlist?list=PLBv09BD7ez_4temBw7vLA19p3tdQH6FYO,PLBv09BD7ez_4temBw7vLA19p3tdQH6FYO,UCs7alOMRnxhzfKAJ4JjZ7Wg,eKD5gxPPeY0,https://www.youtube.com/watch?v=eKD5gxPPeY0,Decision Tree 1: how it works,sara shakibi,UCvSTcEXE_9JY1rhmatqbXRQ,Professor Lavrenko I deeply appreciate your great explanation and simple example. thank you,13,92.30769231
NLP sentiment analysis,https://www.youtube.com/watch?v=HpKMc78OYts,(Blank),UCh8IuVJvRdporrHi-I9H7Vw,HpKMc78OYts,https://www.youtube.com/watch?v=HpKMc78OYts,Hotel Reviews Sentiment Analysis In python|NLP Sentiment analysis in Python,Manoj M Holagi,UCa40xPXD_yoGSpXv65bb2LA,"When you do cleaning of description column using function, how does it exactly take the description column??",17,100.0
Linear Regression,https://www.youtube.com/watch?v=zPG4NjIkCjc,(Blank),UClD8c_piy1nrJySPJUgyivg,zPG4NjIkCjc,https://www.youtube.com/watch?v=zPG4NjIkCjc,An Introduction to Linear Regression Analysis,aqsa satar,UCfJClgMjIpwoKEZSiwJJYvA,Jazakalah it is very help full lecture for me.,9,88.88888889
Set Theory,https://www.youtube.com/watch?v=WbWlUUkjJVQ,(Blank),UC9dyrsYEmD4iGJ8Oz1G5dpw,WbWlUUkjJVQ,https://www.youtube.com/watch?v=WbWlUUkjJVQ,Sets Class 11 |  Maths Chapter 1 | Concept/Types/Questions/Solutions/Concept/Represention/Super Set,Pandey Baba,UCTcosUTq72kC7_fY0mMrxmA,Sir continue the series,4,100.0
NLP sentiment analysis,https://www.youtube.com/playlist?list=PLZoTAELRMXVMdJ5sqbCK2LiM0HhQVWNzm,PLZoTAELRMXVMdJ5sqbCK2LiM0HhQVWNzm,UCNU_lfiiWBdtULKOw6X0Dig,H6du_pfuznE,https://www.youtube.com/watch?v=H6du_pfuznE,Stock Price Prediction And Forecasting Using Stacked LSTM- Deep Learning,Sameer Amesara,UC69dxrH4rOBAUuFy0-5k8MA,why RMSE so large???? it should not be between 0 and 1,10,90.0
Linear Algebra,https://www.youtube.com/playlist?list=PLU6SqdYcYsfJOGZdxUpDk3w9o-w94-RoG,PLU6SqdYcYsfJOGZdxUpDk3w9o-w94-RoG,UC_4NoVAkQzeSaxCgm-to25A,iwkFNEWqzgc,https://www.youtube.com/watch?v=iwkFNEWqzgc,System Of Linear Equations | Non Homogeneous Equation | Matrices,42 ECE Sk Elaf Ahmed,UCNx9yec4sH6P1fFwZKBmvoQ,Great explanation thank you sir!,5,100.0
Linear Regression,https://www.youtube.com/watch?v=ZkjP5RJLQF4,(Blank),UCFrjdcImgcQVyFbK04MBEhA,ZkjP5RJLQF4,https://www.youtube.com/watch?v=ZkjP5RJLQF4,"Statistics 101: Linear Regression, The Very Basics 📈",John Alejandro Ledesma,UC76oiOJy3A_FBw5owtt1sDQ,Really good ! he keeps it simple !,6,100.0
classification in machine learning,https://www.youtube.com/watch?v=yN7ypxC7838,(Blank),UCF-uUxo43IPpnEwnR62WGlA,yN7ypxC7838,https://www.youtube.com/watch?v=yN7ypxC7838,All Machine Learning Models Explained in 5 Minutes | Types of ML Models Basics,Camilo Rodriguez,UCl0YuqREvFXjVBoPXLpO8vw,Great video. But I would include reinforcement learning on the same level as supervised and unsupervised. It is a whole different thing. And you are also missing recommendation systems by the way,32,100.0
Probability,https://www.youtube.com/watch?v=mYbdGLnTd4c,(Blank),UC9dyrsYEmD4iGJ8Oz1G5dpw,mYbdGLnTd4c,https://www.youtube.com/watch?v=mYbdGLnTd4c,Probability Trick | Probability Aptitude Tricks | Probability DSSSB/CLASS 10/CLASS 12/Short Trick,Madara Uchiha,UC878qLkJWdDDx17x1nrHDKA,I am still confused who is the real DEAR SIR of this channel?😆 If anyone know anythings about it then please tell me✌️,23,100.0
Probability,https://www.youtube.com/watch?v=cwzOY1spP_c,(Blank),UCnRAMJhTu7s77QjkJcYpAcQ,cwzOY1spP_c,https://www.youtube.com/watch?v=cwzOY1spP_c,10th Algebra | Probability | Chapter 5 | Lecture 1 | Maharashtra Board |,Kavita Hiwale,UCXcbgL5dCrVxqTu8pryy6NA,Thank you sir you are teaching is so good,9,100.0
exploratory data analysis,https://www.youtube.com/playlist?list=PLUgZaFoyJafhVjpOIS4_fhuLaqQgsU9Cs,PLUgZaFoyJafhVjpOIS4_fhuLaqQgsU9Cs,UC2XO4HDxzfMOZIV1l795g1Q,5NcbVYhQJvw,https://www.youtube.com/watch?v=5NcbVYhQJvw,Exploratory Data Analysis (EDA) Using Python (Jupyter Notebook),Johnny Garcia,UCmOO8E_uRr_qHeSJWV278yw,"Wow, everything little thing was carefully explained. Thank you for such a helpful video, this was exactly what I needed.",20,100.0
Decision Tree,https://www.youtube.com/playlist?list=PLBq2sVJiEBvA9rPo3IEQsJNI4IJbn81tB,PLBq2sVJiEBvA9rPo3IEQsJNI4IJbn81tB,UCtYLUTtgS3k1Fg4y5tAhLbw,wpNl-JwwplA,https://www.youtube.com/watch?v=wpNl-JwwplA,"StatQuest: Decision Trees, Part 2 - Feature Selection and Missing Data",Tianxing Wang,UC_utfZxXvIBxbSE0kAuJRvQ,"Hi Josh, somehow I calculated the Gini impurity for chest pain as 0.19 with( separating), I got weight value on the left 0.334 = 1 (7/33)^2 (26/33)^2 and right 0.1356 = 1 (6/82)^2 (76/82)^2. Then, I calculated the Gini index = (33/115)*0.334+(82/115)*0.1356 = 0.19. Can you correct me what is different from yours? Thank you",40,95.0
NLP sentiment analysis,https://www.youtube.com/watch?v=2iMigWkmG6c,(Blank),UCWkh8mlJwYqhV9Qn-1NBRcw,2iMigWkmG6c,https://www.youtube.com/watch?v=2iMigWkmG6c,Sentiment Analysis Using Machine Learning and Python | Sentiment Analysis | NLP Tutorials in Hindi,Vinay Tandel,UCCESXAQ7emrGzSHB5KeXaKg,Thank you Aditya. I could replicate same by watching your video. I am completely new here. What does the end result 0.89688 means? Is it positive negative neutral / / ?,27,96.2962963
