topic,Unique_Column,playlist_id,channel_id,video_id,video_link,video_title,username,user_id,Comment,length,Sum
dashboard creation in tableau,https://www.youtube.com/watch?v=jEgVto5QME8,(Blank),UCQIMjZigvDj6tWFoMTsN5_g,jEgVto5QME8,https://www.youtube.com/watch?v=jEgVto5QME8,Tableau in Two Minutes - Tableau Basics for Beginners,Aideke Noname,UCicBREM35b7Vl-77EWaTY-w,"tableau in two minutes = 23 minutes, :)",5,100.0
Linear Algebra,https://www.youtube.com/playlist?list=PL49CF3715CB9EF31D,PL49CF3715CB9EF31D,UCEBb1b_L6zDS3xTUrIALZOw,ZK3O402wf1c,https://www.youtube.com/watch?v=ZK3O402wf1c,"Lec 1 | MIT 18.06 Linear Algebra, Spring 2005",Aaron Gould,UCyA8MmVsU_iEw3UmkZmnA7g,I am taking linear algebra next semester wish me luck bois,11,100.0
Set Theory,https://www.youtube.com/watch?v=enHai1y5Knc,(Blank),UCEg3PHVR0vt3azbs_Qk_6cw,enHai1y5Knc,https://www.youtube.com/watch?v=enHai1y5Knc,Sets | CBSE Class 11 Maths Chapter 1 | Complete Lesson in ONE Video,Shubham Pawar,UCZWDQQsGknoG1PAveXcg13A,So easy,2,100.0
dashboard creation in tableau,https://www.youtube.com/watch?v=mvpGTXRLIQc,(Blank),UCL2ls5uXExB4p6_aZF2rUyg,mvpGTXRLIQc,https://www.youtube.com/watch?v=mvpGTXRLIQc,Build a Tableau COVID-19 Dashboard,Tej,UC2sKnKScToZtpuB3Q6S2yvg,"Good look Anthony, really helpful information on visualization. Cheers !",9,100.0
NLP sentiment analysis,https://www.youtube.com/playlist?list=PLVG0Zju2HPJfW2rqtu330DD-MaPk-bvMZ,PLVG0Zju2HPJfW2rqtu330DD-MaPk-bvMZ,UCm4_rUfjicRxAlcnkXoOWzQ,YUDdhX9J1qY,https://www.youtube.com/watch?v=YUDdhX9J1qY,SMS Spam Classifier (Part-2) in Telugu || NLP in Telugu,Santosh Vodhala,UC2sHWRdcuI1J_rJrAh4FQ5Q,bro can you tell how to solve this error Original error was: DL load failed while importing multi a ray you math : The specified module could not be found.,29,96.55172414
Probability,https://www.youtube.com/watch?v=8idr1WZ1A7Q,(Blank),UCYO_jab_esuFRV4b17AJtAw,8idr1WZ1A7Q,https://www.youtube.com/watch?v=8idr1WZ1A7Q,"Binomial distributions | Probabilities of probabilities, part 1",Marcara081,UCewaywhXjF8TQeLdfjql5QA,I am so happy this has come my way.,9,100.0
Probability,https://www.youtube.com/watch?v=mYbdGLnTd4c,(Blank),UC9dyrsYEmD4iGJ8Oz1G5dpw,mYbdGLnTd4c,https://www.youtube.com/watch?v=mYbdGLnTd4c,Probability Trick | Probability Aptitude Tricks | Probability DSSSB/CLASS 10/CLASS 12/Short Trick,GHULAM NABI SHEIKH,UCPsE7vgWJrUlWHCB2qzjOig,"Sir ap bo hot hi mast ho . Your teaching method is so Cool. Aur channel ka naam kiss hai sujhaya"""" Dear Sir "" Mind blowing. Allah karay ap ko aisayaur zeyada videos banana y ki t of eq ata far may a Aur pad hay I ki pad hay I aur sath hi sath maza bhi ajayay. By the way I am SuriyaKosar from JUST KIDDING And & . please Sir keep smiling for keeping students heart May. God prosper You day by day & fulfill Your desires",84,82.14285714
Linear Regression,https://www.youtube.com/playlist?list=PLblh5JKOoLUIzaEkCLIUxQFjPIlapw8nU,PLblh5JKOoLUIzaEkCLIUxQFjPIlapw8nU,UCtYLUTtgS3k1Fg4y5tAhLbw,2AQKmw14mHM,https://www.youtube.com/watch?v=2AQKmw14mHM,"R-squared, Clearly Explained!!!",Sunil Kumar Samji,UCKB-kyV3B95shGmCUVLmK6Q,"Hi Josh Starmer Thanks a lot for the explaination. By eye we can see that variation around the mean is higher than variation around the blue line. 6 : 15 it is mentioned that size weigth relationship accounts for the 81% of total variation in the data. However, I feel its the other way . Variation around the mean contributes higher percentage to the total variation in the data which is 81 % that has been reduced by considering variation around the mean. This means to say that size wi eight relationship contributes to 19 % variation in the data. I have used the word contributes"""" instead of accounts"" for"". Please correct me If am wrong.",107,97.19626168
Decision Tree,https://www.youtube.com/playlist?list=PLS025GDZpC8ytrrD1vWd-CxeYpQiXS-sJ,PLS025GDZpC8ytrrD1vWd-CxeYpQiXS-sJ,UCyKo6jAVsE0hVinzH7q-FGg,8S6LOBddb-o,https://www.youtube.com/watch?v=8S6LOBddb-o,What is Decision Theory? [Lec 1],Manoj Tyagi,UCdtwVf8C9E80oq0gSXUsz4w,Nice sir😎 sb points clear hog ye,7,100.0
Set Theory,https://www.youtube.com/watch?v=WbWlUUkjJVQ,(Blank),UC9dyrsYEmD4iGJ8Oz1G5dpw,WbWlUUkjJVQ,https://www.youtube.com/watch?v=WbWlUUkjJVQ,Sets Class 11 |  Maths Chapter 1 | Concept/Types/Questions/Solutions/Concept/Represention/Super Set,Girraj Tripathi,UCTckE-59myrPc862eVf__Cg,Thank you sir ☺️,3,100.0
classification in machine learning,https://www.youtube.com/playlist?list=PLblh5JKOoLUICTaGLRoHQDuF_7q2GfuJF,PLblh5JKOoLUICTaGLRoHQDuF_7q2GfuJF,UCtYLUTtgS3k1Fg4y5tAhLbw,BfKanl1aSG0,https://www.youtube.com/watch?v=BfKanl1aSG0,Logistic Regression Details Pt 2: Maximum Likelihood,empaulstube,UCtZYia5Fl5gxa8Xiiime-7g,I did not understand.😭,4,100.0
Linear Regression,https://www.youtube.com/watch?v=ZkjP5RJLQF4,(Blank),UCFrjdcImgcQVyFbK04MBEhA,ZkjP5RJLQF4,https://www.youtube.com/watch?v=ZkjP5RJLQF4,"Statistics 101: Linear Regression, The Very Basics 📈",loza09,UCqo_Vj9ho1IPLHRNShCjOpA,Thank you for your kind introduction :),6,100.0
Linear Regression,https://www.youtube.com/watch?v=nk2CQITm_eo,(Blank),UCtYLUTtgS3k1Fg4y5tAhLbw,nk2CQITm_eo,https://www.youtube.com/watch?v=nk2CQITm_eo,"Linear Regression, Clearly Explained!!!",Memes Compilation,UCMEkx3YfBr_YxFf1DUO7ELg,that is awesome.,3,100.0
NLP sentiment analysis,https://www.youtube.com/playlist?list=PLHUB9ctwOZlxkP5RKp7v1sV2Kc0eXdOK_,PLHUB9ctwOZlxkP5RKp7v1sV2Kc0eXdOK_,UCJhU1YQ05U2Y8jegtlJZkjA,FheTDyCwRdE,https://www.youtube.com/watch?v=FheTDyCwRdE,SMOTE - Synthetic Minority Oversampling Technique,Sarveswara Rao Vangala,UCvWkWTQrCxVWeBSBVP8HxMQ,"as he is speaking slow, watch this video at X1.5 to get normal pace.",14,100.0
Linear Algebra,https://www.youtube.com/playlist?list=PLHXZ9OQGMqxfUl0tcqPNTJsb7R6BqSLo6,PLHXZ9OQGMqxfUl0tcqPNTJsb7R6BqSLo6,UC9rTsvTxJnx1DNrDA3Rqa6A,RNKsV5RrLPA,https://www.youtube.com/watch?v=RNKsV5RrLPA,Matrix Transformations are the same thing as Linear Transformations,Mostafa Ahmadi,UC0s-pjkxhwVgpnBphm2BBsQ,Beautiful explanation . Thank you very much.,6,100.0
ANN Model,https://www.youtube.com/playlist?list=PLZHQObOWTQDNU6R1_67000Dx_ZCJB-3pi,PLZHQObOWTQDNU6R1_67000Dx_ZCJB-3pi,UCYO_jab_esuFRV4b17AJtAw,tIeHLnjs5U8,https://www.youtube.com/watch?v=tIeHLnjs5U8,"Backpropagation calculus | Chapter 4, Deep learning",Idan,UCdXuA5RovnYrSgWuD2nx2aQ,"Can you please make some videos about Graph Theory ? I need your help, my master.",15,100.0
Linear Algebra,https://www.youtube.com/watch?v=Qm_OS-8COwU,(Blank),UC4a-Gbdw7vOaccHmFo40b9g,Qm_OS-8COwU,https://www.youtube.com/watch?v=Qm_OS-8COwU,Linear combinations and span | Vectors and spaces | Linear Algebra | Khan Academy,Krishna Raj,UCq-sngdk3_KXqxFNrrcdi7Q,I love you man! What an explanation,7,100.0
classification in machine learning,https://www.youtube.com/watch?v=4dwsSz_fNSQ,(Blank),UCJihyK0A38SZ6SdJirEdIOw,4dwsSz_fNSQ,https://www.youtube.com/watch?v=4dwsSz_fNSQ,"Supervised, Unsupervised and Reinforcement Learning in Artificial Intelligence in Hindi",Amogh Mangalam,UCF1ZMpdJEFjnxnNMcMtM1XA,Superb,1,100.0
exploratory data analysis,https://www.youtube.com/playlist?list=PLUgZaFoyJafhVjpOIS4_fhuLaqQgsU9Cs,PLUgZaFoyJafhVjpOIS4_fhuLaqQgsU9Cs,UC2XO4HDxzfMOZIV1l795g1Q,5NcbVYhQJvw,https://www.youtube.com/watch?v=5NcbVYhQJvw,Exploratory Data Analysis (EDA) Using Python (Jupyter Notebook),Ramakrishna Gadde,UCA_8Bf4i2ikgH9s-oYGXxCg,"Hi Sir, Could you share CarSalescsv. dataset to I tried to download from kagle, but no luck in getting dataset.",20,80.0
dashboard creation in tableau,https://www.youtube.com/watch?v=Hr5IE0qYkRs,(Blank),UCsvqVGtbbyHaMoevxPAq9Fg,Hr5IE0qYkRs,https://www.youtube.com/watch?v=Hr5IE0qYkRs,Tableau Dashboard | How To Create Tableau Dashboard | Tableau Training For Beginners | Simplilearn,pavan kumar,UCy6pX0nruh6kfH174bFarLQ,"Hi Team, can you please share the dataset to Thank you",11,90.90909091
Probability,https://www.youtube.com/playlist?list=PLU6SqdYcYsfLRq3tu-g_hvkHDcorrtcBK,PLU6SqdYcYsfLRq3tu-g_hvkHDcorrtcBK,UC_4NoVAkQzeSaxCgm-to25A,QAEZOhE13Wg,https://www.youtube.com/watch?v=QAEZOhE13Wg,"Regression Analysis, Regression Coefficient, Linear Regression Part-I",19_ece_15 Akshay Kumar,UCDb2Hmov5dnnr9Io9lp40Eg,Really sir. Great. your videos are very helpful sir🙏🙏🙏🙏,9,100.0
Decision Tree,https://www.youtube.com/watch?v=atw7hUrg3_8,(Blank),UCGFNZxMqKLsqWERX_N2f08Q,atw7hUrg3_8,https://www.youtube.com/watch?v=atw7hUrg3_8,Decision Tree with Solved Example in English | DWM | ML | BDA,Neelam Shinde,UCm3M-wONcu7Ip0NNCiTs6cw,very nicely explained!! very much helpful Thank you . .,8,100.0
NLP sentiment analysis,https://www.youtube.com/playlist?list=PLQVvvaa0QuDf2JswnfiGkliBInZnIC4HL,PLQVvvaa0QuDf2JswnfiGkliBInZnIC4HL,UCfzlCWGWYyIQ0aLC5w48gBQ,w36-U-ccajM,https://www.youtube.com/watch?v=w36-U-ccajM,Stop Words - Natural Language Processing With Python and NLTK p.2,badar raja,UCZteVqaoiUmLWlJTrqWoTIg,I am from pakistan. your videos are very informative and helping me. thank you sir. Allah bless you. always be happy :),21,95.23809524
Linear Algebra,https://www.youtube.com/playlist?list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab,PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab,UCYO_jab_esuFRV4b17AJtAw,P2LTAUO1TdA,https://www.youtube.com/watch?v=P2LTAUO1TdA,"Change of basis | Chapter 13, Essence of linear algebra",viswapriya misra,UC9x3T5sacEzZ65VypWfoQVA,Is not this an explanation for SVD? . Like the only missing thing here are the singular values?!,17,94.11764706
classification in machine learning,https://www.youtube.com/playlist?list=PLblh5JKOoLUICTaGLRoHQDuF_7q2GfuJF,PLblh5JKOoLUICTaGLRoHQDuF_7q2GfuJF,UCtYLUTtgS3k1Fg4y5tAhLbw,FgakZw6K1QQ,https://www.youtube.com/watch?v=FgakZw6K1QQ,"StatQuest: Principal Component Analysis (PCA), Step-by-Step",Varad Dingankar,UC8vIxnEmH--kyUALG6nKAUg,Starmer Could you please also cover Association rule analysis and Survival Analysis It is really difficult to find simple explanation like yours anywhere else. Great Content :) Thanks D:,28,96.42857143
Probability,https://www.youtube.com/watch?v=n1lbEGr0dCU,(Blank),UCjO0g7qbAcZX-vtdIFCA41Q,n1lbEGr0dCU,https://www.youtube.com/watch?v=n1lbEGr0dCU,PROBABILITY Tricks And Shotcuts For Bank Exams | Complete Chapter | IBPS PO 2020 | Kaushik Mohanty |,kp,UChcbkODc0-OXsQJRDvSt1UQ,15/16 ans . Unbelievable session thank you you lots Sir..,8,100.0
NLP sentiment analysis,https://www.youtube.com/playlist?list=PLQVvvaa0QuDf2JswnfiGkliBInZnIC4HL,PLQVvvaa0QuDf2JswnfiGkliBInZnIC4HL,UCfzlCWGWYyIQ0aLC5w48gBQ,TKAXDqoG2dc,https://www.youtube.com/watch?v=TKAXDqoG2dc,NLTK Corpora - Natural Language Processing With Python and NLTK p.9,Rosa Soria,UCOBhMLKQNMpfitb5Pm-vUmg,If I have my own directory with my own set of txt. files can I drag and drop it into this location where the NLTK corpora resides so I can later pull it into my code? Will this work?,39,94.87179487
Linear Algebra,https://www.youtube.com/playlist?list=PL49CF3715CB9EF31D,PL49CF3715CB9EF31D,UCEBb1b_L6zDS3xTUrIALZOw,8o5Cmfpeo6g,https://www.youtube.com/watch?v=8o5Cmfpeo6g,6. Column Space and Nullspace,Nandan V,UCS2OhOqVdfQsHvIsYJKS0_g,A glitch in the matrix 31:27,5,100.0
classification in machine learning,https://www.youtube.com/playlist?list=PLblh5JKOoLUICTaGLRoHQDuF_7q2GfuJF,PLblh5JKOoLUICTaGLRoHQDuF_7q2GfuJF,UCtYLUTtgS3k1Fg4y5tAhLbw,nk2CQITm_eo,https://www.youtube.com/watch?v=nk2CQITm_eo,"Linear Regression, Clearly Explained!!!",M. Bilal,UCS7LfkkNGrqeADlgmDYU-uQ,st1 video is not working please check!,7,100.0
ANN Model,https://www.youtube.com/playlist?list=PLblh5JKOoLUIxGDQs4LFFD--41Vzf-ME1,PLblh5JKOoLUIxGDQs4LFFD--41Vzf-ME1,UCtYLUTtgS3k1Fg4y5tAhLbw,CqOfi41LfDw,https://www.youtube.com/watch?v=CqOfi41LfDw,Neural Networks Pt. 1: Inside the Black Box,Ghozi Fidaul,UC3BZbu0DjKNR1KY9ROigVyw,thank you josh ! !,3,100.0
Linear Regression,https://www.youtube.com/watch?v=owI7zxCqNY0,(Blank),UCbdsyFBdG0Fmjroqk-ZoPcg,owI7zxCqNY0,https://www.youtube.com/watch?v=owI7zxCqNY0,Video 1: Introduction to Simple Linear Regression,"Ebenezer,Boahene Awuku",UC2yrK4wZvU6omGAtUzA7EsA,brilliant tutorials. God work done sir.,6,100.0
Linear Regression,https://www.youtube.com/watch?v=OCwZyYH14uw,(Blank),UCkw4JCwteGrDHIsyIIKo4tQ,OCwZyYH14uw,https://www.youtube.com/watch?v=OCwZyYH14uw,Linear Regression vs Logistic Regression | Data Science Training | Edureka,Dakota Ballard,UCm1TekEF7kiVBkMOlRzBlBA,"Your explanation was clear and helpful, thank you!",8,100.0
Linear Regression,https://www.youtube.com/watch?v=nk2CQITm_eo,(Blank),UCtYLUTtgS3k1Fg4y5tAhLbw,nk2CQITm_eo,https://www.youtube.com/watch?v=nk2CQITm_eo,"Linear Regression, Clearly Explained!!!",Nevil Abraham Elias,UCc5o6pvrT5Wv21qriRISPKQ,Can we express the F value as F = var mean ( ( ) var fit var fit ( ) ) / ( ) ?,14,100.0
Decision Tree,https://www.youtube.com/watch?v=RVuy1ezN_qA,(Blank),UCyHta2dyCTkf29AB67AYn7A,RVuy1ezN_qA,https://www.youtube.com/watch?v=RVuy1ezN_qA,Decision Tree Algorithm Part-1 Explained With Example ll DMW ll ML Easiest Explanation Ever in Hindi,a.h tonmoy,UCIrFwmrTcx0ZCPAKOUTCg2Q,a question to ask Are you relative with Rohit Sharma !,10,80.0
Set Theory,https://www.youtube.com/watch?v=WbWlUUkjJVQ,(Blank),UC9dyrsYEmD4iGJ8Oz1G5dpw,WbWlUUkjJVQ,https://www.youtube.com/watch?v=WbWlUUkjJVQ,Sets Class 11 |  Maths Chapter 1 | Concept/Types/Questions/Solutions/Concept/Represention/Super Set,SK gk study,UCV9Usg0Y61dCDmhSbkEGAjA,Sir ch2 of maths class 11 please,6,100.0
Linear Algebra,https://www.youtube.com/playlist?list=PL49CF3715CB9EF31D,PL49CF3715CB9EF31D,UCEBb1b_L6zDS3xTUrIALZOw,23LLB9mNJvc,https://www.youtube.com/watch?v=23LLB9mNJvc,19. Determinant Formulas and Cofactors,Ubermensch,UCv4ESuszZ2jk0sAWFeKBo3Q,Am considering dropping out of college and learning from OCW,10,90.0
Set Theory,https://www.youtube.com/watch?v=XbCBbJncfGE,(Blank),UCiGyWN6DEbnj2alu7iapuKQ,XbCBbJncfGE,https://www.youtube.com/watch?v=XbCBbJncfGE,Set Theory -1 | Introduction |  Representation and Types of Sets | Intervals | Class 11 | CBSE | JEE,EE-053-Nirmal Tudu,UCI4DGAtUbo9cXU0y_UEGguQ,I love the class very much.,6,100.0
exploratory data analysis,https://www.youtube.com/watch?v=QiqZliDXCCg,(Blank),UCKWaEZ-_VweaEx1j62do_vQ,QiqZliDXCCg,https://www.youtube.com/watch?v=QiqZliDXCCg,Exploratory Data Analysis,Heiko Timberlake,UC4lwm6d6IO4YIRsgAhOnwUA,"I like him god . looking and charming voice, and good manners",11,100.0
ANN Model,https://www.youtube.com/playlist?list=PLeo1K3hjS3uu7CxAacxVndI4bE_o3BDtO,PLeo1K3hjS3uu7CxAacxVndI4bE_o3BDtO,UCh9nVJoWXmFb7sLApWGcLPQ,Y2wfIKQyd1I,https://www.youtube.com/watch?v=Y2wfIKQyd1I,"What is Recurrent Neural Network (RNN)? Deep Learning Tutorial 33 (Tensorflow, Keras & Python)",zanwardr RKNEC,UCl0amJ3vzLTrpHdJnieXI5g,"Amazing. Sir, you may not be aware how easy you are making it. How close you are taking us to application. You must be taking huge efforts to make it so.",31,100.0
Set Theory,https://www.youtube.com/watch?v=WbWlUUkjJVQ,(Blank),UC9dyrsYEmD4iGJ8Oz1G5dpw,WbWlUUkjJVQ,https://www.youtube.com/watch?v=WbWlUUkjJVQ,Sets Class 11 |  Maths Chapter 1 | Concept/Types/Questions/Solutions/Concept/Represention/Super Set,Shambhav GAURAV,UCL2a4rvFStm_d8z5eGZ8O0Q,"Thank you sir, huge respect 😊 and please continue the series of class 11",12,100.0
Decision Tree,https://www.youtube.com/playlist?list=PLD3fYc0bAjC-o3BI760gREvqW3oPmtFCe,PLD3fYc0bAjC-o3BI760gREvqW3oPmtFCe,UC1S4Jeodbr5EbsCOIgBWJPQ,FUY07dvaUuE,https://www.youtube.com/watch?v=FUY07dvaUuE,Decision Analysis 4 (Tree): EVSI - Expected Value of Sample Information,Erdem Habeş,UCQ1JJdSjGBu5rkepoq4M2dQ,Thanks for the video!! It helps much more than I thought.,11,100.0
classification in machine learning,https://www.youtube.com/playlist?list=PLYwpaL_SFmcBhOEPwf5cFwqo5B-cP9G4P,PLYwpaL_SFmcBhOEPwf5cFwqo5B-cP9G4P,UCyHta2dyCTkf29AB67AYn7A,lzGKRSvs5HM,https://www.youtube.com/watch?v=lzGKRSvs5HM,Linear Regression Explained in Hindi ll Machine Learning Course,George,UC2z0rr8Iy8PtMK3MGd8qHMg,Sir a 22,2,100.0
Linear Algebra,https://www.youtube.com/playlist?list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab,PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab,UCYO_jab_esuFRV4b17AJtAw,PFDu9oVAE-g,https://www.youtube.com/watch?v=PFDu9oVAE-g,"Eigenvectors and eigenvalues | Chapter 14, Essence of linear algebra",Zaiban Ali,UCnQmV7iSPPK1Xn448o8O4kg,"I like your videos before watching them because I know, I have to do it anyway after watching them 📍📍📍",19,100.0
Decision Tree,https://www.youtube.com/playlist?list=PLBq2sVJiEBvA9rPo3IEQsJNI4IJbn81tB,PLBq2sVJiEBvA9rPo3IEQsJNI4IJbn81tB,UCtYLUTtgS3k1Fg4y5tAhLbw,LsK-xG1cLYA,https://www.youtube.com/watch?v=LsK-xG1cLYA,"AdaBoost, Clearly Explained",Sandro Mastino,UCeXASwVDzKRSmRopu84qhWA,I stop and change the video at 0:01 because of the intro.,11,100.0
Decision Tree,https://www.youtube.com/playlist?list=PLPOTBrypY74xS3WD0G_uzqPjCQfU6IRK-,PLPOTBrypY74xS3WD0G_uzqPjCQfU6IRK-,UCCtkE-r-0Mvp7PwAvxzSdvw,y6DmpG_PtN0,https://www.youtube.com/watch?v=y6DmpG_PtN0,Coding a Decision Tree from Scratch in Python p.1: Introduction,Exotic Me,UC_3-YGlC8PepY6Pz2uan3xA,THank you so much guy!!,5,100.0
