topic,Unique_Column,playlist_id,channel_id,video_id,video_link,video_title,username,user_id,Comment,length,Sum
exploratory data analysis,https://www.youtube.com/playlist?list=PLZoTAELRMXVPQyArDHyQVjQxjj_YmEuO9,PLZoTAELRMXVPQyArDHyQVjQxjj_YmEuO9,UCNU_lfiiWBdtULKOw6X0Dig,1JXrxCJoHuw,https://www.youtube.com/watch?v=1JXrxCJoHuw,Advance House Price Prediction-Feature Selection,anand huded,UC1lb3vGiFTde84k0avMaw8g,Obviously great Teaching👏👏👏,3,100.0
Decision Tree,https://www.youtube.com/playlist?list=PLPOTBrypY74xS3WD0G_uzqPjCQfU6IRK-,PLPOTBrypY74xS3WD0G_uzqPjCQfU6IRK-,UCCtkE-r-0Mvp7PwAvxzSdvw,Ud5XlhG8-gU,https://www.youtube.com/watch?v=Ud5XlhG8-gU,Coding a Decision Tree from Scratch in Python p.4: Helper Functions cont'd,Abdul Jalil Memon,UCd89wxWnJdD5a_Oon5XHuLg,can you please tell me are you using information gain?,10,100.0
NLP sentiment analysis,https://www.youtube.com/playlist?list=PLZoTAELRMXVMdJ5sqbCK2LiM0HhQVWNzm,PLZoTAELRMXVMdJ5sqbCK2LiM0HhQVWNzm,UCNU_lfiiWBdtULKOw6X0Dig,H6du_pfuznE,https://www.youtube.com/watch?v=H6du_pfuznE,Stock Price Prediction And Forecasting Using Stacked LSTM- Deep Learning,Halima Lari,UCsiK2vvpIBEG78zThapA77A,How do we define the api key?,7,85.71428571
exploratory data analysis,https://www.youtube.com/watch?v=v2oNWja7M2E,(Blank),UC8uU_wruBMHeeRma49dtZKA,v2oNWja7M2E,https://www.youtube.com/watch?v=v2oNWja7M2E,Beginner to Pro FREE Excel Data Analysis Course,Sameer Mehdi,UCOiN_TuZ-Ac3CKOyc9QNduw,hello chandoo sir at timestamp 24:44 the option is not show chose whether you want to anylyze multple table please help if possible,22,90.90909091
dashboard creation in tableau,https://www.youtube.com/playlist?list=PL6_D9USWkG1AQj56AYY2Lj2hV4z7NuoeD,PL6_D9USWkG1AQj56AYY2Lj2hV4z7NuoeD,UCxNzLV0gP8nuOZcSfyc0hsg,udHOJ2hMS0E,https://www.youtube.com/watch?v=udHOJ2hMS0E,Tableau LOD Level of Detail Expressions Complete Tutorial with Examplse and Exercises,Heena Perween,UCR1pG1m6ulRcO0m39zwM4gQ,"6 no. exercise how to solve, avg sales by category and sub category and compare to avg sales by customers, how to compare",22,100.0
classification in machine learning,https://www.youtube.com/playlist?list=PLYwpaL_SFmcBhOEPwf5cFwqo5B-cP9G4P,PLYwpaL_SFmcBhOEPwf5cFwqo5B-cP9G4P,UCyHta2dyCTkf29AB67AYn7A,WkFtIqWmX9o,https://www.youtube.com/watch?v=WkFtIqWmX9o,Random Forest Step-Wise Explanation ll Machine Learning Course Explained in Hindi,Jayant Kapila,UCs0mGAIVXcLk2mUTpkFz4xQ,But its not a 5 minutes tutorial,6,100.0
Linear Regression,https://www.youtube.com/playlist?list=PLIeGtxpvyG-LoKUpV0fSY8BGKIMIdmfCi,PLIeGtxpvyG-LoKUpV0fSY8BGKIMIdmfCi,UCFrjdcImgcQVyFbK04MBEhA,ZkjP5RJLQF4,https://www.youtube.com/watch?v=ZkjP5RJLQF4,"Statistics 101: Linear Regression, The Very Basics 📈",jackeroo75,UCyATlCMWDcpKcnfXxQBwPJw,Thanks for helping us man,5,100.0
Set Theory,https://www.youtube.com/watch?v=WbWlUUkjJVQ,(Blank),UC9dyrsYEmD4iGJ8Oz1G5dpw,WbWlUUkjJVQ,https://www.youtube.com/watch?v=WbWlUUkjJVQ,Sets Class 11 |  Maths Chapter 1 | Concept/Types/Questions/Solutions/Concept/Represention/Super Set,MANSI MISHRA,UCtkbkS5UzuOXAKPzfA_aCyg,A fabulous and fantastic🤘😝🤘 class where we get knowledge and entertainment😎 also awesome dear sir🤗,15,100.0
ANN Model,https://www.youtube.com/playlist?list=PLcAf0BNJq_vdJM4MJMJQy4F2jc_-GKUdi,PLcAf0BNJq_vdJM4MJMJQy4F2jc_-GKUdi,UCuewOYbBXH5gwhfOrQOZOdw,7lIF45KvGy4,https://www.youtube.com/watch?v=7lIF45KvGy4,بالعربي Backpropagation: Understanding How to Update Artificial Neural Networks Weights Step by Step,Osamah Abdullah,UCft2ovCXQr-xynPj7k9Q3Ug,"please share your main reference by the way, it is awesome explaination thanks a lot",15,93.33333333
Linear Regression,https://www.youtube.com/playlist?list=PLIeGtxpvyG-LoKUpV0fSY8BGKIMIdmfCi,PLIeGtxpvyG-LoKUpV0fSY8BGKIMIdmfCi,UCFrjdcImgcQVyFbK04MBEhA,ZkjP5RJLQF4,https://www.youtube.com/watch?v=ZkjP5RJLQF4,"Statistics 101: Linear Regression, The Very Basics 📈",Environment World,UC3Z4hGRWkdvcJywrT9YB4Tg,"Very nice, understood",3,100.0
