topic,Unique_Column,playlist_id,channel_id,video_id,video_link,video_title,username,user_id,Comment,length,Sum
Linear Algebra,https://www.youtube.com/playlist?list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab,PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab,UCYO_jab_esuFRV4b17AJtAw,XkY2DOUCWMU,https://www.youtube.com/watch?v=XkY2DOUCWMU,"Matrix multiplication as composition | Chapter 4, Essence of linear algebra",Mayur Agrawal,UCHdXpPyJtCq28u1qwuQ0HRA,"This is indeed a fine explanation which is missing from any text book or other classes. One question though. how this sheer transformation is described by matrix in purple color? why here is I vector is represented by[1,0] and j is [1,1]?",41,100.0
classification in machine learning,https://www.youtube.com/playlist?list=PLoROMvodv4rMiGQp3WXShtMGgzqpfVfbU,PLoROMvodv4rMiGQp3WXShtMGgzqpfVfbU,UCBa5G_ESCn8Yd4vw5U-gIcg,jGwO_UgTS7I,https://www.youtube.com/watch?v=jGwO_UgTS7I,"Stanford CS229: Machine Learning Course, Lecture 1 - Andrew Ng (Autumn 2018)",mzma,UCKPOACsgW2KhPOECMiTPv_g,Supervised ML definition.,3,100.0
Set Theory,https://www.youtube.com/playlist?list=PLU6SqdYcYsfJ27O0dvuMwafS3X8CecqUg,PLU6SqdYcYsfJ27O0dvuMwafS3X8CecqUg,UC_4NoVAkQzeSaxCgm-to25A,b52g2Mv5nqE,https://www.youtube.com/watch?v=b52g2Mv5nqE,Finite State Machine | Equivalent State & Minimize Finite State Machine | Discrete Mathematics,Ashish Rana,UCmfZrh0biCz-8F3x8NYWguw,option a (1 sec.),3,100.0
Linear Algebra,https://www.youtube.com/watch?v=YrHlHbtiSM0,(Blank),UCEBb1b_L6zDS3xTUrIALZOw,YrHlHbtiSM0,https://www.youtube.com/watch?v=YrHlHbtiSM0,Intro: A New Way to Start Linear Algebra,Echo Lee,UC-FXOYC2-_rwEYXFGKNfmEw,Thank you so much Mr. ProfesorYou！ have huge fans in China and we appreciate all your contribution in making Linear Algebra less scary“” to students So ！ 👍 👍 happy to see this new course and please take good care during the pandemic Thank🙇‍♀️🙏 you MIT OCWYouve！' always been doing such a great job in education👍,53,94.33962264
Set Theory,https://www.youtube.com/watch?v=xXPGEB3JalA,(Blank),UCUj4anKaqKyno6MvOn38mYg,xXPGEB3JalA,https://www.youtube.com/watch?v=xXPGEB3JalA,Set Theory for NDA Exam || NDA Maths || By Chitra Mam,Air Warriors✈,UC1PDwOj-TnO249h0j0u5fOw,So solid class mam,4,100.0
NLP sentiment analysis,https://www.youtube.com/playlist?list=PLQVvvaa0QuDf2JswnfiGkliBInZnIC4HL,PLQVvvaa0QuDf2JswnfiGkliBInZnIC4HL,UCfzlCWGWYyIQ0aLC5w48gBQ,nla4C-VYNEU,https://www.youtube.com/watch?v=nla4C-VYNEU,Scikit-Learn incorporation - Natural Language Processing With Python and NLTK p.15,Tony B,UCweICPSR6EloHNGtUoJt2nQ,"Can not figure out why I seem to be missing parts of sklearn when I should have the most recent version. I followed your video on adding via pip, went to the download site and got the correct bit32 version whl file; everything appears to install without a hitch and I am able to import"" sklearn"" by itself from command prompt; but if I try how you have it. from"" sklearnaive. bayes import MultinomialNB, GausianNB, BernouliNB "" it will not work and I get Import Er or "" DL failed to load ; specified module could not be found."" Any ideas what is going on here and how to fix it?",108,91.66666667
NLP sentiment analysis,https://www.youtube.com/playlist?list=PLZoTAELRMXVMdJ5sqbCK2LiM0HhQVWNzm,PLZoTAELRMXVMdJ5sqbCK2LiM0HhQVWNzm,UCNU_lfiiWBdtULKOw6X0Dig,fM4qTMfCoak,https://www.youtube.com/watch?v=fM4qTMfCoak,Complete Road Map To Prepare NLP-Follow This Video-You Will Able to Crack Any DS Interviews🔥🔥,rohit singh,UCh7VC0KSgoFWEipM3HaeqCA,Hi could you please make video on what. is most challenging task you have face in during your project and. how Do resolve it this. is one the question I have faced during the interview eagerly. waiting more videos on interview playlist,42,100.0
NLP sentiment analysis,https://www.youtube.com/playlist?list=PLZoTAELRMXVMdJ5sqbCK2LiM0HhQVWNzm,PLZoTAELRMXVMdJ5sqbCK2LiM0HhQVWNzm,UCNU_lfiiWBdtULKOw6X0Dig,MXPh_lMRwAI,https://www.youtube.com/watch?v=MXPh_lMRwAI,Kaggle Faker News Classifier Using LSTM- Deep LEarning| Natural Language Processing,Ritik Singh,UCmaXPtNb5I0a6SOJ6cx3B-A,"Krish, can you explain some applications of nlp using lstm like next word prediction, translation and Image captioning ?",18,83.33333333
exploratory data analysis,https://www.youtube.com/watch?v=AYalukmWroY,(Blank),UCNU_lfiiWBdtULKOw6X0Dig,AYalukmWroY,https://www.youtube.com/watch?v=AYalukmWroY,Perform Exploratory Data Analysis In Minutes- Data Science| Machine Learning,Nibin Joseph,UC8ckqNdnIfmtdeeP_4HCvng,Module Not Found Er or : No module named pandas' profiling' tried many times in staling but . did not work! can somebody help???,22,100.0
dashboard creation in tableau,https://www.youtube.com/watch?v=_qReGTOrKTk,(Blank),UC2Yt4idSq5rMLrrsWP5dkpw,_qReGTOrKTk,https://www.youtube.com/watch?v=_qReGTOrKTk,Customer Analysis using Tableau - Dashboard From Scratch,Alejandro Peña,UCaszShtSD3K0CDiZbqlc00g,Great video!! it helped me a lot!,7,100.0
