topic,Unique_Column,playlist_id,channel_id,video_id,video_link,video_title,username,user_id,Comment,length,Sum
Linear Regression,https://www.youtube.com/playlist?list=PLF596A4043DBEAE9C,PLF596A4043DBEAE9C,UClD8c_piy1nrJySPJUgyivg,JvS2triCgOY,https://www.youtube.com/watch?v=JvS2triCgOY,How to calculate linear regression using least square method,Waqas Rana,UCdo-IwZNuFqrKEGrjAXGtzw,I have a question Slope formula is Rise / Run why did you take a square of x( x)^2 and multiply x( x)✖ y( y)?,24,100.0
NLP sentiment analysis,https://www.youtube.com/playlist?list=PLHUB9ctwOZlxkP5RKp7v1sV2Kc0eXdOK_,PLHUB9ctwOZlxkP5RKp7v1sV2Kc0eXdOK_,UCTiWgVtEGSY4cuduJbMPblA,9FQTG0Pzv6E,https://www.youtube.com/watch?v=9FQTG0Pzv6E,"NLP Tutorial 6 - Phone Number, Email, Emoji Extraction in Spacy for NLP | NLP with SpaCy",ahmed bhuiyan,UCWBdppohcR0_zu04VmFawcA,Could you help me with PI detection as I am trying to build a model to detect pi data from a document.,22,100.0
classification in machine learning,https://www.youtube.com/playlist?list=PLEiEAq2VkUUIcQ6UHDK8DVGH08U9H-PXS,PLEiEAq2VkUUIcQ6UHDK8DVGH08U9H-PXS,UCsvqVGtbbyHaMoevxPAq9Fg,4HKqjENq9OU,https://www.youtube.com/watch?v=4HKqjENq9OU,KNN Algorithm In Machine Learning | KNN Algorithm Using Python | K Nearest Neighbor | Simplilearn,Ben Cunningham,UCvCMD2_KaU5NkFZPl0K0bdA,"Hi, great video. After we have created the model, how do we use it to predict whether new patients would have diabetes or not? Is there some sort of execution code we need to run to load the new data and test it against the model you built?",48,100.0
Set Theory,https://www.youtube.com/playlist?list=PLU6SqdYcYsfJ27O0dvuMwafS3X8CecqUg,PLU6SqdYcYsfJ27O0dvuMwafS3X8CecqUg,UC_4NoVAkQzeSaxCgm-to25A,7S6jHzi8vkk,https://www.youtube.com/watch?v=7S6jHzi8vkk,"Propositional Logic | Conjunction, Disjunction & Negation | Discrete Mathematics | By Gp sir",Akhar Tv,UCYfDnGybsIbuLvSrK_UymVQ,Thanks for making videos,4,100.0
ANN Model,https://www.youtube.com/playlist?list=PLblh5JKOoLUIxGDQs4LFFD--41Vzf-ME1,PLblh5JKOoLUIxGDQs4LFFD--41Vzf-ME1,UCtYLUTtgS3k1Fg4y5tAhLbw,xBEh66V9gZo,https://www.youtube.com/watch?v=xBEh66V9gZo,Neural Networks Part 7: Cross Entropy Derivatives and Backpropagation,Environmental Chemist,UCOrrxsJc9Gg1kFNTfOH_8ww,"Some topic suggestions: Could you go over the distinction between PC A and Factor Analysis, and describe the different factor rotations orthogonal( versus oblique, vari max , quartimax, equimax, oblimin, etc)?",30,90.0
Set Theory,https://www.youtube.com/watch?v=WbWlUUkjJVQ,(Blank),UC9dyrsYEmD4iGJ8Oz1G5dpw,WbWlUUkjJVQ,https://www.youtube.com/watch?v=WbWlUUkjJVQ,Sets Class 11 |  Maths Chapter 1 | Concept/Types/Questions/Solutions/Concept/Represention/Super Set,Karunakar Mishra,UCeB6HGkOACYkvTtg1yOC3Yw,Sir you are the best at all.,7,100.0
Linear Regression,https://www.youtube.com/playlist?list=PLblh5JKOoLUIzaEkCLIUxQFjPIlapw8nU,PLblh5JKOoLUIzaEkCLIUxQFjPIlapw8nU,UCtYLUTtgS3k1Fg4y5tAhLbw,nk2CQITm_eo,https://www.youtube.com/watch?v=nk2CQITm_eo,"Linear Regression, Clearly Explained!!!",Yusuf Coşku İnceler,UCxTokbIVQTfAsQl4zXd41TA,"Yesterday I was able to watch the video but today suddenly a notice saying I should pay to watch this video showed up. However, there is no guide saying how, where, and how much should I pay. I really like your videos, so I would pay if I need. Would be glad if you help.",55,100.0
classification in machine learning,https://www.youtube.com/playlist?list=PLblh5JKOoLUICTaGLRoHQDuF_7q2GfuJF,PLblh5JKOoLUICTaGLRoHQDuF_7q2GfuJF,UCtYLUTtgS3k1Fg4y5tAhLbw,BfKanl1aSG0,https://www.youtube.com/watch?v=BfKanl1aSG0,Logistic Regression Details Pt 2: Maximum Likelihood,Vla Vla,UCRrg4KSOQPNXOPfoUruWBXA,"my exam is in two days, you could really help me doing another video",14,100.0
exploratory data analysis,https://www.youtube.com/playlist?list=PLUgZaFoyJafhVjpOIS4_fhuLaqQgsU9Cs,PLUgZaFoyJafhVjpOIS4_fhuLaqQgsU9Cs,UC2XO4HDxzfMOZIV1l795g1Q,5NcbVYhQJvw,https://www.youtube.com/watch?v=5NcbVYhQJvw,Exploratory Data Analysis (EDA) Using Python (Jupyter Notebook),Blake Ridgeway,UCim6KEt5Pgw5lkMEG0wcz_Q,Great tutorial especially appreciate the explanation of some of the syntax used in Pandas. Can you forward the jupyter notebook to me for further exploration? blake ridgeway at gmailcom.,29,93.10344828
classification in machine learning,https://www.youtube.com/playlist?list=PLblh5JKOoLUICTaGLRoHQDuF_7q2GfuJF,PLblh5JKOoLUICTaGLRoHQDuF_7q2GfuJF,UCtYLUTtgS3k1Fg4y5tAhLbw,qcvAqAH60Yw,https://www.youtube.com/watch?v=qcvAqAH60Yw,ROC and AUC in R,HorseheadMD,UCfjFJLpSnosKFFDoAiws21w,Thank you for this informative video. It helped me a lot. Great work!,13,100.0
