topic,Unique_Column,playlist_id,channel_id,video_id,video_link,video_title,username,user_id,Comment,length,Sum
classification in machine learning,https://www.youtube.com/playlist?list=PLblh5JKOoLUICTaGLRoHQDuF_7q2GfuJF,PLblh5JKOoLUICTaGLRoHQDuF_7q2GfuJF,UCtYLUTtgS3k1Fg4y5tAhLbw,g9c66TUylZ4,https://www.youtube.com/watch?v=g9c66TUylZ4,"Regression Trees, Clearly Explained!!!",Shwetank Agrawal,UCW-dESPYiOVRsdW6QuxQNJQ,"Hi I , want to learn kernel PC A , can you try to explain how kernelize pc a is reducing the dimension Or please tell me the book where I can get the concept clear explain ed",36,97.22222222
exploratory data analysis,https://www.youtube.com/playlist?list=PLvcxya_kQ6n3GhRNDc-6Q7aZ3fZPBxW20,PLvcxya_kQ6n3GhRNDc-6Q7aZ3fZPBxW20,UCs1el_ZlQgCTv2NwfKk4M3w,aaUW1hMruBo,https://www.youtube.com/watch?v=aaUW1hMruBo,Lecture 5 - Student Performance Dataset,Life N Food,UCB1eueOFUYec2RgxycLsacQ,data gdrive ya kahi par to share okay are,9,77.77777778
classification in machine learning,https://www.youtube.com/playlist?list=PLblh5JKOoLUICTaGLRoHQDuF_7q2GfuJF,PLblh5JKOoLUICTaGLRoHQDuF_7q2GfuJF,UCtYLUTtgS3k1Fg4y5tAhLbw,FgakZw6K1QQ,https://www.youtube.com/watch?v=FgakZw6K1QQ,"StatQuest: Principal Component Analysis (PCA), Step-by-Step",vu le,UCvHwZhZUa_9yaW8WC3urMlw,"Looking forward new videos like this, thank you",8,100.0
Linear Regression,https://www.youtube.com/watch?v=ZkjP5RJLQF4,(Blank),UCFrjdcImgcQVyFbK04MBEhA,ZkjP5RJLQF4,https://www.youtube.com/watch?v=ZkjP5RJLQF4,"Statistics 101: Linear Regression, The Very Basics 📈",Chrislyn Cross,UCI-ewjNZIovjp0qy4yC_sxQ,"Thanks, I need to take a teachers exam and I totally forgot all this material. I appreciate all your work. Good luck Mr. Foltz in all you do!",28,96.42857143
ANN Model,https://www.youtube.com/playlist?list=PLZoTAELRMXVPGU70ZGsckrMdr0FteeRUi,PLZoTAELRMXVPGU70ZGsckrMdr0FteeRUi,UCNU_lfiiWBdtULKOw6X0Dig,mH9GBJ6og5A,https://www.youtube.com/watch?v=mH9GBJ6og5A,Tutorial 4: How to train Neural Network with BackPropogation,Anshika Gupta,UC51tXAFB7SK0_oNZamVjDAA,Your lectures is amazing and very helpful but you looks so serious in every video,15,100.0
Set Theory,https://www.youtube.com/watch?v=dJvIW8fHO_8,(Blank),UCiGyWN6DEbnj2alu7iapuKQ,dJvIW8fHO_8,https://www.youtube.com/watch?v=dJvIW8fHO_8,Set Theory 04 | De Morgan's Law  | AdditionTheorem on Sets |  Class 11 | CBSE | JEE,insha Siddique,UCtHGbXrVLfTY_tSft8XW_Ww,like those students who watching this video in the month of August,12,100.0
Linear Regression,https://www.youtube.com/playlist?list=PLZxrDbXw42xXyJ9fyuuxIe_nvXku1EV3a,PLZxrDbXw42xXyJ9fyuuxIe_nvXku1EV3a,UCmpYAi_DGeJCBPLyiUDMsFQ,EkycGdhBwDo,https://www.youtube.com/watch?v=EkycGdhBwDo,No. 05 || Linear Regression||  Exercise 3.2( 5 to 8) ||12th Commerce-MATHS-2|| New Syllabus 2020-21,Ayush Dhokte,UCw4TFCL6fRDIH9j7e6RPgVA,Thank You Very Much For are Your Help Sir,9,100.0
classification in machine learning,https://www.youtube.com/playlist?list=PLYwpaL_SFmcBhOEPwf5cFwqo5B-cP9G4P,PLYwpaL_SFmcBhOEPwf5cFwqo5B-cP9G4P,UCyHta2dyCTkf29AB67AYn7A,83x5X66uWK0,https://www.youtube.com/watch?v=83x5X66uWK0,Basics Of Principal Component Analysis Explained in Hindi ll Machine Learning Course,Abhay Mittal,UCNzEF41Iqc0Tf55yB_AG4Fg,Video starts at 1:35,3,100.0
ANN Model,https://www.youtube.com/playlist?list=PLQVvvaa0QuDdeMyHEYc0gxFpYwHY2Qfdh,PLQVvvaa0QuDdeMyHEYc0gxFpYwHY2Qfdh,UCfzlCWGWYyIQ0aLC5w48gBQ,6gk7giKER6s,https://www.youtube.com/watch?v=6gk7giKER6s,On the GPU - Deep Learning and Neural Networks with Python and Pytorch p.7,Barbell Bender,UCro3GwmN1UlBx7A5raUmciA,"File this one under tech' expert is done with this bult & ( / , but keeps it together for the video' Good stuff thought ! Keep Them coming",24,100.0
Linear Algebra,https://www.youtube.com/playlist?list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab,PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab,UCYO_jab_esuFRV4b17AJtAw,TgKwz5Ikpc8,https://www.youtube.com/watch?v=TgKwz5Ikpc8,"Abstract vector spaces | Chapter 16, Essence of linear algebra",Hemnath A,UCav2MZ-PSCG4XZkCThcJbvw,Thanks!,1,100.0
NLP sentiment analysis,https://www.youtube.com/watch?v=zwR6M5zpnWs,(Blank),UC8UmuMDlWB1egqH5nyy0pDw,zwR6M5zpnWs,https://www.youtube.com/watch?v=zwR6M5zpnWs,Sentiment Analysis Project using Machine Learning NLP | Review Classification | ML Education,Anurag Dixit,UC0RYauuWgbx7ZcSEn2mtIqg,Great Video!!! Much Helpful for Data Science insights and AplicationKep. Posting more videos :),13,92.30769231
Probability,https://www.youtube.com/watch?v=Tr9U87N6h0k,(Blank),UC9dyrsYEmD4iGJ8Oz1G5dpw,Tr9U87N6h0k,https://www.youtube.com/watch?v=Tr9U87N6h0k,Probability Tricks | Probability Card Problems/Questions/Solutions | SSC CGL 2019/2020/Class 10th/12,Utkarsh yadav,UC-ReO8LcYJQD_kD6eZ5iXWg,bahut short tricks lata hai dear sir,7,85.71428571
Linear Algebra,https://www.youtube.com/playlist?list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab,PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab,UCYO_jab_esuFRV4b17AJtAw,TgKwz5Ikpc8,https://www.youtube.com/watch?v=TgKwz5Ikpc8,"Abstract vector spaces | Chapter 16, Essence of linear algebra",Perseus Georgiadis,UClRdEjp5p3Ljc7qx-XTpaow,"Officially covered more in a day than Math HL AA could ever hope of covering in a month. The lessons you uploaded in this series helped me immensely with understanding this considerably hard concept so easily. I can now confidently say that I understand the intuition behind linear algebra and in probably a day more of educating myself and solving problems, I could probably not worry about my courses' linear algebra topic",72,100.0
Decision Tree,https://www.youtube.com/watch?v=ydvnVw80I_8,(Blank),UC1S4Jeodbr5EbsCOIgBWJPQ,ydvnVw80I_8,https://www.youtube.com/watch?v=ydvnVw80I_8,Decision Analysis 3: Decision Trees,William Dannenmaier,UCzRcTda-ijzdCH-fv-OL-mQ,This is a very nice and clear presentation. I will refer my students to it who need another voice explaining the concept. Thank you Joshua.,25,100.0
Linear Regression,https://www.youtube.com/playlist?list=PLF596A4043DBEAE9C,PLF596A4043DBEAE9C,UClD8c_piy1nrJySPJUgyivg,JvS2triCgOY,https://www.youtube.com/watch?v=JvS2triCgOY,How to calculate linear regression using least square method,Potato Itis,UCPK8Jd-g2rtbSW38Odn730Q,Professor thank you so much for making this concept easy to understand. I had problems grasping this in our lecture today. Thank you!!!!!,23,100.0
Linear Regression,https://www.youtube.com/playlist?list=PLF596A4043DBEAE9C,PLF596A4043DBEAE9C,UClD8c_piy1nrJySPJUgyivg,w2FKXOa0HGA,https://www.youtube.com/watch?v=w2FKXOa0HGA,How to Calculate R Squared Using Regression Analysis,statisticsfun,UClD8c_piy1nrJySPJUgyivg,Great to hear! Not that your confused but my videos are helping you. I have always thought that animations help students learn.,22,100.0
NLP sentiment analysis,https://www.youtube.com/watch?v=O_B7XLfx0ic,(Blank),UCkw4JCwteGrDHIsyIIKo4tQ,O_B7XLfx0ic,https://www.youtube.com/watch?v=O_B7XLfx0ic,A Quick Guide To Sentiment Analysis | Sentiment Analysis In Python Using Textblob  |  Edureka,Sushmita Bhor,UC8c2JwWtyDVbD0FNONL6Y4Q,very important thank you,4,100.0
