topic,Unique_Column,playlist_id,channel_id,video_id,video_link,video_title,username,user_id,Comment,length,Sum
dashboard creation in tableau,https://www.youtube.com/watch?v=_qReGTOrKTk,(Blank),UC2Yt4idSq5rMLrrsWP5dkpw,_qReGTOrKTk,https://www.youtube.com/watch?v=_qReGTOrKTk,Customer Analysis using Tableau - Dashboard From Scratch,Blackronin357,UC-25PDzxxRwxka5c3EHOwpg,"Overall, great tutorial. I am sure you have heard to slow down where you are clicking on. That said, my only issue is in the as current version of this writing. creating a calc field for zero axis is giving an error of The"" calculation Zero Axis is invalid."" I am assuming something changed since the original recording of your tutorial and thought you may want to update it or add a disclaimer for this section.",76,98.68421053
dashboard creation in tableau,https://www.youtube.com/watch?v=cGa7QDeueTA,(Blank),UCW2E1sGBVde5WMMxEh5CW4w,cGa7QDeueTA,https://www.youtube.com/watch?v=cGa7QDeueTA,"Tableau Dashboard Tutorial - Step by step, from start to finish - Part 1  | sqlbelle",T B,UC8VrVG_7HQNfNJ7GfRcJx2g,You just got a subscriber today! Thank you for breaking this down. God bless you!,15,100.0
Set Theory,https://www.youtube.com/playlist?list=PLxCzCOWd7aiH2wwES9vPWsEL6ipTaUSl3,PLxCzCOWd7aiH2wwES9vPWsEL6ipTaUSl3,UCJihyK0A38SZ6SdJirEdIOw,YBb2oYIzXK0,https://www.youtube.com/watch?v=YBb2oYIzXK0,"L-0: Discrete Mathematics Syllabus for GATE, UGC NET, PSUs & COLLEGE/UNIVERSITY Exams",RAHUL GAUTAM,UCbXPl8ZcagQIPaQLjcweYJw,These 26 videos are complete course for discrete maths?,8,100.0
Linear Algebra,https://www.youtube.com/playlist?list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab,PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab,UCYO_jab_esuFRV4b17AJtAw,TgKwz5Ikpc8,https://www.youtube.com/watch?v=TgKwz5Ikpc8,"Abstract vector spaces | Chapter 16, Essence of linear algebra",Abdullah Alsakka,UC1cQ2b4NgWYZDtEA0YvLrSw,"Marvelous Series. I knew linear algebra from before but I have not understood it sadly I just memorized it. Also I have a question, can we relate the chain rule with cross product",33,100.0
dashboard creation in tableau,https://www.youtube.com/watch?v=jEgVto5QME8,(Blank),UCQIMjZigvDj6tWFoMTsN5_g,jEgVto5QME8,https://www.youtube.com/watch?v=jEgVto5QME8,Tableau in Two Minutes - Tableau Basics for Beginners,yousaf azeem,UCikyT4sxd3qPA7QM9KfTG1A,Hi can anyone provide me practice data in tableau please,10,100.0
Linear Algebra,https://www.youtube.com/playlist?list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab,PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab,UCYO_jab_esuFRV4b17AJtAw,PFDu9oVAE-g,https://www.youtube.com/watch?v=PFDu9oVAE-g,"Eigenvectors and eigenvalues | Chapter 14, Essence of linear algebra",Liya Rafeekh,UCgqAlS3MVSicsxgvq4GW1xg,"Thank you for this wonderful video. I am confused though. It is my understanding that eigen vectors are vectors that do not change their direction during linear transformation. But what if the eigenvalue is negative? Then the vector is in the opposite direction right , ? How can it still be eigenvector?",50,96.0
Decision Tree,https://www.youtube.com/playlist?list=PLBq2sVJiEBvA9rPo3IEQsJNI4IJbn81tB,PLBq2sVJiEBvA9rPo3IEQsJNI4IJbn81tB,UCtYLUTtgS3k1Fg4y5tAhLbw,LsK-xG1cLYA,https://www.youtube.com/watch?v=LsK-xG1cLYA,"AdaBoost, Clearly Explained",吴陈炜,UC2oTRDDtKfolxkCKgx1VYPA,Hi~ is there a mistake at 10:20 that the amount of Say shoud be log1/2(5/3)=2.55?,14,92.85714286
ANN Model,https://www.youtube.com/playlist?list=PLZoTAELRMXVPGU70ZGsckrMdr0FteeRUi,PLZoTAELRMXVPGU70ZGsckrMdr0FteeRUi,UCNU_lfiiWBdtULKOw6X0Dig,6EXP2-d_xQA,https://www.youtube.com/watch?v=6EXP2-d_xQA,Tutorial 31- Back Propagation In Recurrent Neural Network,Nithin M.kannal,UCOxsht_fOPO76NTZ5frxSWA,when it knows to end I mean it has reached global minima,12,100.0
NLP sentiment analysis,https://www.youtube.com/playlist?list=PLHUB9ctwOZlxkP5RKp7v1sV2Kc0eXdOK_,PLHUB9ctwOZlxkP5RKp7v1sV2Kc0eXdOK_,UC4EX8zLiBUalk704IX_zu1Q,OpXRQADbr9M,https://www.youtube.com/watch?v=OpXRQADbr9M,L37: Decision Tree Technique for Classification and Prediction | Data Mining Lectures in Hindi,Nitin Issar,UCNTvwWTzC9t93eAQUQyv07g,Hello,1,100.0
ANN Model,https://www.youtube.com/playlist?list=PLZoTAELRMXVPGU70ZGsckrMdr0FteeRUi,PLZoTAELRMXVPGU70ZGsckrMdr0FteeRUi,UCNU_lfiiWBdtULKOw6X0Dig,VpSLtKiPhLM,https://www.youtube.com/watch?v=VpSLtKiPhLM,Tutorial 24- Max Pooling Layer In CNN,Rahul Dey,UCM9M5N5Z0qst1qAUMu0BfTw,"What if I take stride=1, what will be the problem?",10,100.0
